seed,profile_id,total_energy,electricity_cost,mean_temperature_deviation,total_discomfort,safety_violations,cumulative_reward,peak_hvac_energy,minimum_temperature,maximum_temperature,comfort_band_pct
123,validation_day_0020,3.253817591816187,2.5024479651306697,0.5152556824244652,0.0,0,-1.47663487057099,0.3095172941684723,21.209629359312437,21.836295698151215,100.0
123,validation_day_0021,4.957605911418796,3.852768333551526,0.7305309337607472,0.25544330101764956,0,-2.360012760543004,0.43907707929611206,22.419875214877866,23.213268952246715,91.66666666666666
123,validation_day_0022,3.910647178068757,2.99204058852873,0.12726065951815047,0.0,0,-1.771602271126373,0.3359147012233734,21.5951988923563,22.225259780441547,100.0
123,validation_day_0023,3.9030737169086933,3.021294623133932,0.23672436102424488,0.0,0,-1.7751810396993946,0.3243735730648041,21.33020951763331,22.22644018339241,100.0
123,validation_day_0024,4.089151851832867,3.131195801735384,0.30823340207913635,0.0,0,-1.8529847158969368,0.3715800642967224,21.20136602868872,22.610916937184996,100.0
123,validation_day_0025,3.372852396219969,2.6014880888757994,0.5929113221883641,0.17709654342344194,0,-1.6029919540105273,0.3230750858783722,20.865318091690725,21.817686983803775,91.66666666666666
123,validation_day_0026,4.0854282677173615,3.1604749823229996,0.1527234487144901,0.0,0,-1.8577234767798083,0.35490211844444275,21.54738575694669,22.422201548381064,100.0
123,validation_day_0027,3.9216363728046417,2.978744205589372,0.22558784214579278,0.0,0,-1.7722397529592668,0.38034459948539734,21.37322876928275,22.175468311617173,100.0
123,validation_day_0028,3.5962964184582233,2.718932010469347,0.4347179144680016,0.022647259141344023,0,-1.631734231287874,0.2872724235057831,20.977352740858656,22.022535968733216,95.83333333333334
123,validation_day_0029,3.6544473096728325,2.855667275399644,0.381375481573994,0.0,0,-1.6674676479817785,0.3011705279350281,21.05767658416211,21.903777774017858,100.0
123,validation_day_0030,3.948551107198,3.0845040065221743,0.17541592636190698,0.0,0,-1.8014661334638349,0.3513268828392029,21.48782170496567,22.389407626951122,100.0
2024,validation_day_0001,3.3694527745246887,2.5359525171540924,0.40568965426768394,0.07986811139333838,0,-1.5499735803455605,0.33463960886001587,20.927534589601727,22.273472994760745,91.66666666666666
2024,validation_day_0002,3.5113705713301897,2.7048093410250744,0.2932257347200656,0.0,0,-1.5943730396040718,0.3423909544944763,21.350501897077415,22.254661971147293,100.0
2024,validation_day_0003,4.873851910233498,3.63395689544327,0.5671154568284439,0.0,0,-2.1889469521587035,0.4320887625217438,22.14043203278776,22.928227579200424,100.0
2024,validation_day_0004,4.029393455013633,3.049650357063973,0.21552088466533803,0.0,0,-1.8187481079168843,0.36968857049942017,21.72830433970794,22.452483174266447,100.0
2024,validation_day_0005,3.4606250319629908,2.6177646111051214,0.3187759133945578,0.0,0,-1.5617404318099215,0.3584321141242981,21.126551431158212,22.198582670742624,100.0
2024,validation_day_0006,4.262673093006015,3.2649702776092724,0.33459564093864885,0.0,0,-1.9317959834236589,0.4881225824356079,21.64931939280719,22.747613039738745,100.0
2024,validation_day_0007,4.01279179751873,3.023192775716456,0.28118430712947334,0.0,0,-1.8084760943989102,0.4007251262664795,21.517270197656114,22.79277725310886,100.0
