log_file,step,wall_time,episode_reward
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,9216,1788170652.802397,-34.33695602416992
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,9472,1788170653.2519636,-34.2609748840332
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,9728,1788170653.687313,-34.02956771850586
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,9984,1788170654.118436,-33.218955993652344
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,10240,1788170654.5517025,-32.08374786376953
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,10496,1788170654.9644802,-30.874267578125
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,10752,1788170655.4194524,-29.671451568603516
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,11008,1788170655.8427246,-28.70722770690918
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,11264,1788170656.2960715,-27.90504264831543
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,11520,1788170656.8511984,-27.200607299804688
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,11776,1788170657.5152118,-25.807422637939453
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,12032,1788170658.0873358,-24.17072105407715
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,12288,1788170658.7683895,-23.210708618164062
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,12544,1788170659.3723662,-21.87186050415039
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,12800,1788170659.9831293,-20.239444732666016
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,13056,1788170660.6784277,-19.150781631469727
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,13312,1788170661.4000087,-18.00650978088379
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,13568,1788170661.8998432,-16.98683738708496
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,13824,1788170662.3134785,-15.7474946975708
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,14080,1788170662.753295,-14.637959480285645
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,14336,1788170663.1869018,-13.966054916381836
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,14592,1788170663.6156585,-13.192527770996094
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,14848,1788170664.0400076,-12.6373929977417
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,15104,1788170664.4559526,-11.979352951049805
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,15360,1788170664.8781457,-11.330713272094727
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,15616,1788170665.2911363,-10.80859661102295
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,15872,1788170665.7038379,-10.139846801757812
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,16128,1788170666.1405911,-9.87537956237793
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,16384,1788170666.5510566,-9.568904876708984
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,16640,1788170666.9968576,-9.2379732131958
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,16896,1788170667.407855,-9.028387069702148
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,17152,1788170667.814361,-8.935355186462402
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,17408,1788170668.2457426,-8.879064559936523
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,17664,1788170668.650385,-8.710467338562012
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,17920,1788170669.0706463,-8.678933143615723
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,18176,1788170669.4881196,-8.526918411254883
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,18432,1788170669.9099615,-8.353740692138672
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,18688,1788170670.3525782,-8.258865356445312
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,18944,1788170670.761504,-8.117965698242188
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,19200,1788170671.1810412,-7.987447261810303
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,19456,1788170671.6007562,-7.767515659332275
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,19712,1788170672.2289467,-7.667383193969727
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,19968,1788170672.8368733,-7.520756721496582
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,20224,1788170673.4849794,-7.513733386993408
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,256,1788073354.1273882,-51.523277282714844
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,512,1788073354.7631702,-45.91461181640625
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,768,1788073355.1814234,-43.50360870361328
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,1024,1788073355.790273,-45.22719192504883
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,1280,1788073356.3511007,-46.65282440185547
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,1536,1788073357.1320755,-46.98460388183594
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,1792,1788073359.3592703,-48.17605209350586
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,2048,1788073361.6702847,-47.3505859375
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,2304,1788073363.6160936,-47.161643981933594
